accuracy,auc,f1,precision,recall,sensitivity,specificity,youden_j,threshold,tp,fp,tn,fn,model,threshold_type
0.83125,0.911875,0.8343558282208589,0.8192771084337349,0.85,0.85,0.8125,0.6625000000000001,0.5,68,15,65,12,GNN+CEFAM (Full Hybrid),default (0.5)
0.85,0.911875,0.8571428571428571,0.8181818181818182,0.9,0.9,0.8,0.7000000000000002,0.3517234468937876,72,16,64,8,GNN+CEFAM (Full Hybrid),optimal (0.3517)
0.7875,0.9378125,0.746268656716418,0.9259259259259259,0.625,0.625,0.95,0.575,0.5,50,4,76,30,ST-GNN (GNN Only),default (0.5)
0.875,0.9378125,0.8837209302325582,0.8260869565217391,0.95,0.95,0.8,0.75,0.4008216432865732,76,16,64,4,ST-GNN (GNN Only),optimal (0.4008)
0.875,0.9581250000000001,0.8765432098765432,0.8658536585365854,0.8875,0.8875,0.8625,0.75,0.5,71,11,69,9,BiCA-HS (Transformer),default (0.5)
0.8875,0.9581250000000001,0.8875,0.8875,0.8875,0.8875,0.8875,0.7749999999999999,0.557935871743487,71,9,71,9,BiCA-HS (Transformer),optimal (0.5579)
0.78125,0.87015625,0.7852760736196319,0.7710843373493976,0.8,0.8,0.7625,0.5625,0.5,64,19,61,16,XGBoost (Tabular Only),default (0.5)
0.80625,0.87015625,0.8050314465408805,0.810126582278481,0.8,0.8,0.8125,0.6125,0.595250501002004,64,15,65,16,XGBoost (Tabular Only),optimal (0.5953)
0.8125,0.898125,0.8076923076923077,0.8289473684210527,0.7875,0.7875,0.8375,0.625,0.5,63,13,67,17,CatBoost (Tabular Only),default (0.5)
0.83125,0.898125,0.8402366863905325,0.797752808988764,0.8875,0.8875,0.775,0.6625000000000001,0.08659318637274549,71,18,62,9,CatBoost (Tabular Only),optimal (0.0866)
