model,threshold,accuracy,auc,f1,precision,recall,sensitivity,specificity,youden_j,tp,fp,tn,fn
GNN+CEFAM (Full Hybrid),0.05,0.5,0.91125,0.6666666666666666,0.5,1.0,1.0,0.0,0.0,80,80,0,0
GNN+CEFAM (Full Hybrid),0.1,0.5,0.91125,0.6666666666666666,0.5,1.0,1.0,0.0,0.0,80,80,0,0
GNN+CEFAM (Full Hybrid),0.15,0.5,0.91125,0.6666666666666666,0.5,1.0,1.0,0.0,0.0,80,80,0,0
GNN+CEFAM (Full Hybrid),0.2,0.5,0.91125,0.6666666666666666,0.5,1.0,1.0,0.0,0.0,80,80,0,0
GNN+CEFAM (Full Hybrid),0.25,0.50625,0.91125,0.6694560669456068,0.5031446540880503,1.0,1.0,0.0125,0.012499999999999956,80,79,1,0
GNN+CEFAM (Full Hybrid),0.3,0.56875,0.91125,0.6986899563318777,0.5369127516778524,1.0,1.0,0.1375,0.13749999999999996,80,69,11,0
GNN+CEFAM (Full Hybrid),0.35,0.725,0.91125,0.7821782178217822,0.6475409836065574,0.9875,0.9875,0.4625,0.4500000000000002,79,43,37,1
GNN+CEFAM (Full Hybrid),0.39999999999999997,0.8125,0.91125,0.8214285714285715,0.7840909090909091,0.8625,0.8625,0.7625,0.625,69,19,61,11
GNN+CEFAM (Full Hybrid),0.44999999999999996,0.775,0.91125,0.7391304347826088,0.8793103448275862,0.6375,0.6375,0.9125,0.5499999999999998,51,7,73,29
GNN+CEFAM (Full Hybrid),0.49999999999999994,0.7,0.91125,0.6,0.9,0.45,0.45,0.95,0.3999999999999999,36,4,76,44
GNN+CEFAM (Full Hybrid),0.5499999999999999,0.64375,0.91125,0.44660194174757273,1.0,0.2875,0.2875,1.0,0.2875000000000001,23,0,80,57
GNN+CEFAM (Full Hybrid),0.6,0.5875,0.91125,0.2978723404255319,1.0,0.175,0.175,1.0,0.17500000000000004,14,0,80,66
GNN+CEFAM (Full Hybrid),0.65,0.5375,0.91125,0.13953488372093023,1.0,0.075,0.075,1.0,0.07499999999999996,6,0,80,74
GNN+CEFAM (Full Hybrid),0.7,0.5125,0.91125,0.04878048780487806,1.0,0.025,0.025,1.0,0.02499999999999991,2,0,80,78
GNN+CEFAM (Full Hybrid),0.75,0.5,0.91125,0.0,0.0,0.0,0.0,1.0,0.0,0,0,80,80
GNN+CEFAM (Full Hybrid),0.7999999999999999,0.5,0.91125,0.0,0.0,0.0,0.0,1.0,0.0,0,0,80,80
GNN+CEFAM (Full Hybrid),0.85,0.5,0.91125,0.0,0.0,0.0,0.0,1.0,0.0,0,0,80,80
GNN+CEFAM (Full Hybrid),0.9,0.5,0.91125,0.0,0.0,0.0,0.0,1.0,0.0,0,0,80,80
GNN+CEFAM (Full Hybrid),0.95,0.5,0.91125,0.0,0.0,0.0,0.0,1.0,0.0,0,0,80,80
ST-GNN (GNN Only),0.05,0.5,0.6496875,0.6666666666666666,0.5,1.0,1.0,0.0,0.0,80,80,0,0
ST-GNN (GNN Only),0.1,0.5,0.6496875,0.6666666666666666,0.5,1.0,1.0,0.0,0.0,80,80,0,0
ST-GNN (GNN Only),0.15,0.5,0.6496875,0.6666666666666666,0.5,1.0,1.0,0.0,0.0,80,80,0,0
ST-GNN (GNN Only),0.2,0.50625,0.6496875,0.6694560669456068,0.5031446540880503,1.0,1.0,0.0125,0.012499999999999956,80,79,1,0
