model,strategy,auc,accuracy_optimal,f1_optimal,optimal_threshold,Social,Manipulated,Natural,Synthetic
GNN+CEFAM (Full Hybrid),Uniform,0.911875,0.85,0.8571428571428571,0.3517234468937876,0.25,0.25,0.25,0.25
GNN+CEFAM (Full Hybrid),Social-Focused,0.9125,0.84375,0.8554913294797688,0.2829859719438878,0.4,0.3,0.15,0.15
GNN+CEFAM (Full Hybrid),Social+Manip,0.9128125,0.84375,0.8554913294797688,0.28691382765531065,0.35,0.35,0.15,0.15
GNN+CEFAM (Full Hybrid),Drop-Natural,0.9125,0.84375,0.8502994011976048,0.35761523046092186,0.33,0.34,0.0,0.33
GNN+CEFAM (Full Hybrid),Drop-Synthetic,0.91265625,0.85,0.8481012658227848,0.53436873747495,0.34,0.33,0.33,0.0
GNN+CEFAM (Full Hybrid),Social-Only,0.91171875,0.84375,0.8427672955974843,0.5127655310621243,1.0,0.0,0.0,0.0
GNN+CEFAM (Full Hybrid),Manip-Only,0.9157812500000001,0.85,0.85,0.50687374749499,0.0,1.0,0.0,0.0
ST-GNN (GNN Only),Uniform,0.9378125,0.875,0.8837209302325582,0.4008216432865732,0.25,0.25,0.25,0.25
ST-GNN (GNN Only),Social-Focused,0.93171875,0.86875,0.8786127167630058,0.40474949899799606,0.4,0.3,0.15,0.15
ST-GNN (GNN Only),Social+Manip,0.93296875,0.86875,0.8786127167630058,0.40474949899799606,0.35,0.35,0.15,0.15
ST-GNN (GNN Only),Drop-Natural,0.9342187499999999,0.88125,0.8888888888888888,0.41260521042084175,0.33,0.34,0.0,0.33
ST-GNN (GNN Only),Drop-Synthetic,0.9328125,0.86875,0.874251497005988,0.418496993987976,0.34,0.33,0.33,0.0
ST-GNN (GNN Only),Social-Only,0.9159375,0.86875,0.874251497005988,0.4243887775551103,1.0,0.0,0.0,0.0
ST-GNN (GNN Only),Manip-Only,0.9332812500000001,0.875,0.8823529411764706,0.41260521042084175,0.0,1.0,0.0,0.0
BiCA-HS (Transformer),Uniform,0.9581250000000001,0.8875,0.8875,0.557935871743487,0.25,0.25,0.25,0.25
BiCA-HS (Transformer),Social-Focused,0.9584375,0.8875,0.8875,0.5736472945891784,0.4,0.3,0.15,0.15
BiCA-HS (Transformer),Social+Manip,0.9584374999999999,0.8875,0.8875,0.5756112224448898,0.35,0.35,0.15,0.15
BiCA-HS (Transformer),Drop-Natural,0.95921875,0.8875,0.8888888888888888,0.49901803607214434,0.33,0.34,0.0,0.33
BiCA-HS (Transformer),Drop-Synthetic,0.9575,0.8875,0.8875,0.5834669338677355,0.34,0.33,0.33,0.0
BiCA-HS (Transformer),Social-Only,0.95765625,0.8875,0.8875,0.5972144288577155,1.0,0.0,0.0,0.0
BiCA-HS (Transformer),Manip-Only,0.9560937500000001,0.88125,0.8805031446540881,0.6031062124248497,0.0,1.0,0.0,0.0
XGBoost (Tabular Only),Uniform,0.87015625,0.80625,0.8050314465408805,0.595250501002004,0.25,0.25,0.25,0.25
XGBoost (Tabular Only),Social-Focused,0.87015625,0.80625,0.8050314465408805,0.595250501002004,0.4,0.3,0.15,0.15
XGBoost (Tabular Only),Social+Manip,0.87015625,0.80625,0.8050314465408805,0.595250501002004,0.35,0.35,0.15,0.15
XGBoost (Tabular Only),Drop-Natural,0.8704687500000001,0.80625,0.8050314465408805,0.595250501002004,0.33,0.34,0.0,0.33
XGBoost (Tabular Only),Drop-Synthetic,0.8700000000000001,0.80625,0.8050314465408805,0.595250501002004,0.34,0.33,0.33,0.0
XGBoost (Tabular Only),Social-Only,0.8704687500000001,0.80625,0.8050314465408805,0.595250501002004,1.0,0.0,0.0,0.0
XGBoost (Tabular Only),Manip-Only,0.87015625,0.80625,0.8050314465408805,0.595250501002004,0.0,1.0,0.0,0.0
CatBoost (Tabular Only),Uniform,0.898125,0.83125,0.8402366863905325,0.08659318637274549,0.25,0.25,0.25,0.25
CatBoost (Tabular Only),Social-Focused,0.898125,0.83125,0.8402366863905325,0.08659318637274549,0.4,0.3,0.15,0.15
CatBoost (Tabular Only),Social+Manip,0.898125,0.83125,0.8402366863905325,0.08659318637274549,0.35,0.35,0.15,0.15
CatBoost (Tabular Only),Drop-Natural,0.898125,0.83125,0.8402366863905325,0.08659318637274549,0.33,0.34,0.0,0.33
CatBoost (Tabular Only),Drop-Synthetic,0.898125,0.83125,0.8402366863905325,0.08659318637274549,0.34,0.33,0.33,0.0
CatBoost (Tabular Only),Social-Only,0.898125,0.83125,0.8402366863905325,0.08659318637274549,1.0,0.0,0.0,0.0
CatBoost (Tabular Only),Manip-Only,0.898125,0.83125,0.8402366863905325,0.08659318637274549,0.0,1.0,0.0,0.0
