model,fpr,tpr,threshold,auc
GNN+CEFAM (Full Hybrid),0.0,0.0,inf,0.94046875
GNN+CEFAM (Full Hybrid),0.0,0.0125,0.9892180636026264,0.94046875
GNN+CEFAM (Full Hybrid),0.0,0.1875,0.9836368014680026,0.94046875
GNN+CEFAM (Full Hybrid),0.0125,0.1875,0.9832398073013072,0.94046875
GNN+CEFAM (Full Hybrid),0.0125,0.625,0.9314039348249114,0.94046875
GNN+CEFAM (Full Hybrid),0.025,0.625,0.9259735774423632,0.94046875
GNN+CEFAM (Full Hybrid),0.025,0.65,0.9202844401648522,0.94046875
GNN+CEFAM (Full Hybrid),0.0375,0.65,0.9191677301717904,0.94046875
GNN+CEFAM (Full Hybrid),0.0375,0.675,0.9133530220552144,0.94046875
GNN+CEFAM (Full Hybrid),0.0625,0.675,0.8974746405734213,0.94046875
GNN+CEFAM (Full Hybrid),0.0625,0.725,0.8781432025372173,0.94046875
GNN+CEFAM (Full Hybrid),0.075,0.725,0.8737586765936991,0.94046875
GNN+CEFAM (Full Hybrid),0.075,0.7375,0.8602389646976283,0.94046875
GNN+CEFAM (Full Hybrid),0.0875,0.7375,0.8585710020424167,0.94046875
GNN+CEFAM (Full Hybrid),0.0875,0.8,0.7954561710722503,0.94046875
GNN+CEFAM (Full Hybrid),0.1,0.8,0.7449058483296142,0.94046875
GNN+CEFAM (Full Hybrid),0.1,0.825,0.696472613923552,0.94046875
GNN+CEFAM (Full Hybrid),0.125,0.825,0.6347433032897662,0.94046875
GNN+CEFAM (Full Hybrid),0.125,0.8625,0.5068320612931799,0.94046875
GNN+CEFAM (Full Hybrid),0.1375,0.8625,0.4782514623711006,0.94046875
GNN+CEFAM (Full Hybrid),0.1375,0.8875,0.4179425028826903,0.94046875
GNN+CEFAM (Full Hybrid),0.15,0.8875,0.3951010181280113,0.94046875
GNN+CEFAM (Full Hybrid),0.15,0.9,0.3782986090928761,0.94046875
GNN+CEFAM (Full Hybrid),0.1625,0.9,0.3454324388721792,0.94046875
GNN+CEFAM (Full Hybrid),0.1625,0.9125,0.3423363393543148,0.94046875
GNN+CEFAM (Full Hybrid),0.175,0.9125,0.3381763990494781,0.94046875
GNN+CEFAM (Full Hybrid),0.175,0.925,0.321368058397484,0.94046875
GNN+CEFAM (Full Hybrid),0.2125,0.925,0.2816454105989102,0.94046875
GNN+CEFAM (Full Hybrid),0.2125,0.9375,0.2233030044598999,0.94046875
GNN+CEFAM (Full Hybrid),0.225,0.9375,0.200944988885495,0.94046875
GNN+CEFAM (Full Hybrid),0.225,0.95,0.1780273145669106,0.94046875
GNN+CEFAM (Full Hybrid),0.2375,0.95,0.1662485462048941,0.94046875
GNN+CEFAM (Full Hybrid),0.2375,0.9625,0.1427594624965347,0.94046875
GNN+CEFAM (Full Hybrid),0.425,0.9625,0.0424696474206557,0.94046875
GNN+CEFAM (Full Hybrid),0.425,0.975,0.0395966938434724,0.94046875
GNN+CEFAM (Full Hybrid),0.45,0.975,0.0319605029639582,0.94046875
GNN+CEFAM (Full Hybrid),0.45,0.9875,0.0312149854969628,0.94046875
GNN+CEFAM (Full Hybrid),0.55,0.9875,0.0257601020172449,0.94046875
GNN+CEFAM (Full Hybrid),0.55,1.0,0.0256698645946987,0.94046875
GNN+CEFAM (Full Hybrid),1.0,1.0,0.0027843606723432,0.94046875
ST-GNN (GNN Only),0.0,0.0,inf,0.9309375
ST-GNN (GNN Only),0.0,0.0125,0.930841363638688,0.9309375
ST-GNN (GNN Only),0.0,0.225,0.7292709333921362,0.9309375
ST-GNN (GNN Only),0.0125,0.225,0.7146157231167749,0.9309375
ST-GNN (GNN Only),0.0125,0.3875,0.6252176484870082,0.9309375
ST-GNN (GNN Only),0.025,0.3875,0.6161752070850008,0.9309375
ST-GNN (GNN Only),0.025,0.4,0.5956549210019159,0.9309375
ST-GNN (GNN Only),0.0375,0.4,0.5889353832876345,0.9309375
ST-GNN (GNN Only),0.0375,0.55,0.5401793557031214,0.9309375
ST-GNN (GNN Only),0.05,0.55,0.5329572778787347,0.9309375
ST-GNN (GNN Only),0.05,0.675,0.4812921698993565,0.9309375
ST-GNN (GNN Only),0.0875,0.675,0.4798632140461181,0.9309375
ST-GNN (GNN Only),0.0875,0.7625,0.4550677567875634,0.9309375
ST-GNN (GNN Only),0.1,0.7625,0.4539896762933953,0.9309375
ST-GNN (GNN Only),0.1,0.825,0.4376445167735747,0.9309375
ST-GNN (GNN Only),0.1375,0.825,0.4294526946862462,0.9309375
ST-GNN (GNN Only),0.1375,0.85,0.4273475418217801,0.9309375
ST-GNN (GNN Only),0.15,0.85,0.4245129630241801,0.9309375
ST-GNN (GNN Only),0.15,0.8625,0.4179197417220505,0.9309375
ST-GNN (GNN Only),0.1625,0.8625,0.4147866757667167,0.9309375
ST-GNN (GNN Only),0.1625,0.875,0.4146429033278563,0.9309375
ST-GNN (GNN Only),0.175,0.875,0.4145400237311624,0.9309375
ST-GNN (GNN Only),0.175,0.9,0.4133535655710176,0.9309375
ST-GNN (GNN Only),0.225,0.9,0.4093971942383013,0.9309375
ST-GNN (GNN Only),0.225,0.9375,0.3956641960849044,0.9309375
ST-GNN (GNN Only),0.2375,0.9375,0.3940609374453194,0.9309375
ST-GNN (GNN Only),0.2375,0.95,0.393984063908973,0.9309375
ST-GNN (GNN Only),0.275,0.95,0.3886234693963878,0.9309375
ST-GNN (GNN Only),0.275,0.9625,0.3877503919345759,0.9309375
ST-GNN (GNN Only),0.2875,0.9625,0.3832087668468256,0.9309375
ST-GNN (GNN Only),0.2875,0.975,0.3812121954128848,0.9309375
ST-GNN (GNN Only),0.4,0.975,0.3441303043108921,0.9309375
ST-GNN (GNN Only),0.4,0.9875,0.3389077870052113,0.9309375
ST-GNN (GNN Only),0.4625,0.9875,0.3228284948800653,0.9309375
ST-GNN (GNN Only),0.4625,1.0,0.3216914701449354,0.9309375
ST-GNN (GNN Only),1.0,1.0,0.0001319372387133,0.9309375
BiCA-HS (Transformer),0.0,0.0,inf,0.9521875000000001
BiCA-HS (Transformer),0.0,0.0125,0.8891712181270123,0.9521875000000001
BiCA-HS (Transformer),0.0,0.2625,0.7744511710412487,0.9521875000000001
BiCA-HS (Transformer),0.0125,0.2625,0.7737924517212982,0.9521875000000001
BiCA-HS (Transformer),0.0125,0.5,0.7007903064964367,0.9521875000000001
BiCA-HS (Transformer),0.0375,0.5,0.6871628630337354,0.9521875000000001
BiCA-HS (Transformer),0.0375,0.5625,0.6666285925299905,0.9521875000000001
BiCA-HS (Transformer),0.05,0.5625,0.6512723194907728,0.9521875000000001
BiCA-HS (Transformer),0.05,0.625,0.62123133037913,0.9521875000000001
BiCA-HS (Transformer),0.0625,0.625,0.6161410345869797,0.9521875000000001
BiCA-HS (Transformer),0.0625,0.6875,0.5986575923184568,0.9521875000000001
BiCA-HS (Transformer),0.075,0.6875,0.597314670863393,0.9521875000000001
BiCA-HS (Transformer),0.075,0.7625,0.5873706425560633,0.9521875000000001
BiCA-HS (Transformer),0.0875,0.7625,0.5734497785688408,0.9521875000000001
BiCA-HS (Transformer),0.0875,0.825,0.5568293046176649,0.9521875000000001
BiCA-HS (Transformer),0.1,0.825,0.5555999884793839,0.9521875000000001
BiCA-HS (Transformer),0.1,0.8875,0.5474459889115909,0.9521875000000001
BiCA-HS (Transformer),0.1125,0.8875,0.546187181488264,0.9521875000000001
BiCA-HS (Transformer),0.1125,0.9125,0.5282319868708126,0.9521875000000001
BiCA-HS (Transformer),0.1375,0.9125,0.5237071220071591,0.9521875000000001
BiCA-HS (Transformer),0.1375,0.95,0.5146328360406283,0.9521875000000001
BiCA-HS (Transformer),0.15,0.95,0.5141845197722276,0.9521875000000001
BiCA-HS (Transformer),0.15,0.9625,0.5107870455339227,0.9521875000000001
BiCA-HS (Transformer),0.1625,0.9625,0.5106488454036818,0.9521875000000001
BiCA-HS (Transformer),0.1625,0.975,0.5069209669093498,0.9521875000000001
BiCA-HS (Transformer),0.2375,0.975,0.4928737926375183,0.9521875000000001
BiCA-HS (Transformer),0.2375,0.9875,0.4925098922799176,0.9521875000000001
BiCA-HS (Transformer),0.2625,0.9875,0.4805490621965094,0.9521875000000001
BiCA-HS (Transformer),0.2625,1.0,0.4795348507046284,0.9521875000000001
BiCA-HS (Transformer),1.0,1.0,0.0071047902375696,0.9521875000000001
XGBoost (Tabular Only),0.0,0.0,inf,0.87015625
XGBoost (Tabular Only),0.0,0.0125,0.999831199645996,0.87015625
XGBoost (Tabular Only),0.0,0.2,0.9995577931404114,0.87015625
XGBoost (Tabular Only),0.0,0.225,0.9995062351226808,0.87015625
XGBoost (Tabular Only),0.0,0.35,0.9989226460456848,0.87015625
XGBoost (Tabular Only),0.0125,0.35,0.9989043474197388,0.87015625
